Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj	cond_state	cond_cell_type	step3
DropViz_CB_level2	Neuron_Slc17a7_Gabra6.1_1	15100	0.026261	0.073958	0.0061479	9.7709e-06	0.0002442725	0.0055205585	single	NA	1
DropViz_FC_level2	Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6	15100	0.035031	0.096466	0.0083533	1.3808e-05	0.001118448	0.00780152	single	NA	1
DropViz_GP_level2	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	15100	0.033335	0.090918	0.0072559	2.1912e-06	0.0001511928	0.001238028	partial-joint;partial-joint;partial-joint;partial-joint;partial-joint	Neuron_Gad1Gad2_Hpcal4.2_4;Neuron_Gad1Gad2_Drd1-Nefm.3_1;Neuron_Gad1Gad2_Adora2a.3_3;Neuron_Gad1Gad2_Cadm2.3_4;Neuron_Gad1Gad2_Adora2a-Pde1c.3_6	1
DropViz_GP_level2	Neuron_Gad1Gad2_Adora2a-Pde1c.3_6	15100	0.030158	0.082799	0.0068769	5.8293e-06	0.0004022217	0.0032935545	partial-joint-drop	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	0
DropViz_GP_level2	Neuron_Gad1Gad2_Drd1-Nefm.3_1	15100	0.028888	0.078047	0.0071688	2.8072e-05	0.001936968	0.01586068	joint-drop	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	0
DropViz_GP_level2	Neuron_Gad1Gad2_Cadm2.3_4	15100	0.022714	0.062409	0.0058389	5.0327e-05	0.003472563	0.028434755	joint-drop	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	0
DropViz_GP_level2	Neuron_Gad1Gad2_Hpcal4.2_4	15100	0.029185	0.078144	0.0075594	5.6782e-05	0.003917958	0.03208183	partial-joint-drop	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	0
DropViz_GP_level2	Neuron_Gad1Gad2_Adora2a.3_3	15100	0.026205	0.071102	0.0069509	8.1976e-05	0.005656344	0.04631644	joint-drop	Neuron_Gad1Gad2-Th_Adora2a-Th.3_9	0
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Penk.2_7	15100	0.036391	0.10013	0.0094299	5.7161e-05	0.005315973	0.032295965	colinear;partial-joint	Neuron_Sc17a7_Calb1-Lpl.2_5;Neuron_Sc17a7_Calb1-Otof.2_6	1
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl.2_5	15100	0.040906	0.1119	0.010637	6.043e-05	0.00561999	0.03414295	colinear-drop	Neuron_Sc17a7_Calb1-Lpl-Penk.2_7	0
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Otof.2_6	15100	0.037599	0.10281	0.0098462	6.7388e-05	0.006267084	0.03807422	partial-joint-drop	Neuron_Sc17a7_Calb1-Lpl-Penk.2_7	0
DropViz_SN_level2	Neuron_Th_Cbln1.4_2	15100	0.021549	0.062767	0.0049747	7.4466e-06	0.0004393494	0.004207329	partial-joint	Neuron_Slc17a6.2_1	1
DropViz_SN_level2	Neuron_Slc17a6.2_1	15100	0.023752	0.06631	0.0062105	6.5807e-05	0.003882613	0.037180955	partial-joint	Neuron_Th_Cbln1.4_2	1
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	15100	0.035714	0.10048	0.0070711	2.2288e-07	1.158976e-05	0.0001259272	partial-joint;partial-joint;partial-joint;partial-joint;partial-joint;partial-joint;partial-joint	Neuron_Gad1Gad2_Drd1-Fos.10_1;Neuron_Gad1Gad2_Drd1-Lypd1.10_2;Neuron_Gad1Gad2_Drd1-Nefm.10_4;Neuron_Gad1Gad2_Adora2a-Nefm.11_1;Neuron_Gad1Gad2_Adora2a-Nnat.11_2;Neuron_Gad1Gad2_Adora2a-Fos.11_3;Neuron_Gad1Gad2_Drd1-Otof-Sorcs1.13_2	1
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Nefm.10_4	15100	0.035617	0.099104	0.0078433	2.8213e-06	0.0001467076	0.0015940345	joint-drop	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	0
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Fos.11_3	15100	0.033107	0.09296	0.0075735	6.2147e-06	0.0003231644	0.0035113055	joint-drop	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	0
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Otof-Sorcs1.13_2	15100	0.029345	0.082522	0.0068966	1.0521e-05	0.000547092	0.005944365	partial-joint-drop	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	0
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nefm.11_1	15100	0.033608	0.093333	0.007916	1.0971e-05	0.000570492	0.006198615	joint-drop	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	0
DropViz_STR_level2	Neuron_Gad1Gad2_Adora2a-Nnat.11_2	15100	0.033477	0.092989	0.0083411	3.0062e-05	0.001563224	0.01698503	joint-drop	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	0
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Lypd1.10_2	15100	0.032401	0.090251	0.0080946	3.1463e-05	0.001636076	0.017776595	joint-drop	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	0
DropViz_STR_level2	Neuron_Gad1Gad2_Drd1-Fos.10_1	15100	0.029208	0.081835	0.0076027	6.1332e-05	0.003189264	0.03465258	joint-drop	Neuron_Gad1Gad2_Drd1-Cxcl14.10_5	0
